cpu,gpu,mobo,mem,storage,cooler,psu,case
543.17,339.98,169.99,277.98,193.76,189.99,254.99,279.99
389.99,469.99,436.05,249.99,144.99,184.99,92.05,74.99
174.99,420,134.99,69.98,79.98,24.99,64.98,99.99
399.99,599.99,159.99,112.99,189.99,99.95,94.99,84.99
559.99,689.99,259.99,119.99,99.99,69.99,169.99,225.77
650,549,200,320,160,100,150,140
349.99,749.99,351.99,249.99,109.99,129.99,218.52,159.99
602,1599,599.99,678,419.99,249,313.42,279.99
699,1500,449.99,498,350,210,160,105
298,699.95,138.99,94.99,54.99,69.99,79.99,74.99
298,679.99,114.99,94.99,97.93,132.54,99.99,109.99
174.99,500,249.99,69.98,179.99,130.47,129.99,119.99
179.99,430,125,79.99,99.99,24.99,100,70
389.99,891.36,219.99,159.99,92.99,253.87,116.69,99
259.99,749.99,219.99,140,89.99,175.44,129.99,239.99
129.99,515,159.99,84.99,64.98,24.99,54.99,54.99
298,1299.99,379.99,285,179.99,149.99,139.99,144.99
174.99,246.99,79.98,79.99,65,25,109.99,159.99
349.99,489.98,160.97,179.99,89.99,79.95,117,112.66
159.99,269.98,139.99,68.99,93.49,27.99,64.98,59.99
174.99,246.99,79.98,79.99,100,27.99,109.99,159.99
279.99,819.99,209.99,109.99,105.99,128.3,119,194
154.99,589.99,119.99,170,80,114.99,79.99,164.99
269.49,502.35,114.48,58.29,90.09,34,47.69,68.89
454.99,1000,104.99,65,293.98,79.99,90.8,89.99
312.99,799.99,159.99,89.99,89.99,129.74,129.99,99.99
295,410,210,155,232,190,120,65
389.99,1199.99,212.99,148.98,160.98,189.99,250.27,259.99
153.94,279.99,133.97,56.99,59.99,35,99,94.99
