name,rating,rating_count,price_usd,type,color,power_supply,side_panel_window,"external_5.25""_bays","internal_3.5""_bays",cpu_cooler_clearance,gpu_clearance,140rad_support,120rad_support,mobo_support,psu_support
NZXT H510,4,121,66.98,ATX Mid Tower,White,,Tempered Glass,0,2,165,381,"['140 mm', '280 mm']","['120 mm', '240 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
NZXT H510,4,122,66.98,ATX Mid Tower,Black,,Tempered Glass,0,2,165,381,"['140 mm', '280 mm']","['120 mm', '240 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Corsair 4000D Airflow,4,78,94.99,ATX Mid Tower,Black,,Tinted Tempered Glass,0,2,170,360,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Phanteks Eclipse P300A Mesh,4,33,49.99,ATX Mid Tower,Black,,Tempered Glass,0,2,165,355,"['140 mm', '280 mm']","['120 mm', '240 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Lian Li PC-O11 Dynamic,4,81,149.99,ATX Full Tower,Black,,Tempered Glass,0,2,155,355,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX', 'EATX']","['SFX', 'ATX']"
Corsair 4000D Airflow,4,32,84.99,ATX Mid Tower,White,,Tinted Tempered Glass,0,2,170,360,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Phanteks Eclipse P400A Digital,4,67,89.99,ATX Mid Tower,Black,,Tempered Glass,0,2,160,420,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX', 'EATX']","['SFX', 'ATX']"
Corsair 275R Airflow,4,44,199.97,ATX Mid Tower,Black,,Tempered Glass,0,2,170,370,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Lian Li Lancool II Mesh,4,34,109.99,ATX Mid Tower,Black,,Tempered Glass,0,3,176,384,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX', 'EATX']","['SFX', 'ATX']"
Lian Li PC-O11 Dynamic,4,107,149.99,ATX Full Tower,White,,Tempered Glass,0,2,155,355,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX', 'EATX']","['SFX', 'ATX']"
