name,rating,rating_count,price_usd,fan_rpm,noise_level,color,radiator_size,type,heat_sink_height,socket,perf_tier
Cooler Master Hyper 212 EVO,4,1421,24.99,600 - 2000 RPM,9 - 36 dB,,,Air,159.0,"['AM4', 'LGA1151', 'LGA1200']",6
Cooler Master Hyper 212 RGB Black Edition,4,175,44.99,650 - 2000 RPM,8 - 30 dB,Black,,Air,158.8,"['AM4', 'LGA1151', 'LGA1200']",6
Cooler Master MASTERLIQUID ML240L RGB V2,4,40,61.5,650 - 1800 RPM,6 - 27 dB,Black,240 mm,Water,,"['AM4', 'LGA1151']",4
NZXT Kraken X53,4,59,119.99,500 - 2000 RPM,21 - 36 dB,Black,240 mm,Water,,"['AM4', 'LGA1151', 'LGA1200']",3
Corsair iCUE H150i ELITE CAPELLIX,4,34,174.99,2400 RPM,10 - 37 dB,Black,360 mm,Water,,"['AM4', 'LGA1151', 'LGA1200']",1
NZXT Kraken Z73,4,47,252.0,500 - 1800 RPM,21 - 36 dB,Black,360 mm,Water,,"['AM4', 'LGA1151', 'LGA1200']",1
Cooler Master Hyper 212 Black Edition,4,149,30.99,650 - 2000 RPM,6.5 - 26 dB,Black,,Air,158.8,"['AM4', 'LGA1151', 'LGA1200']",6
Corsair iCUE H100i ELITE CAPELLIX,4,25,137.99,2400 RPM,10 - 37 dB,Black,240 mm,Water,,"['AM4', 'LGA1151', 'LGA1200']",2
Noctua NH-D15 CHROMAX.BLACK,4,118,109.95,300 - 1500 RPM,19.2 - 24.6 dB,Black,,Air,165.0,"['AM4', 'LGA1151', 'LGA1200']",2
Corsair H100i RGB PLATINUM SE,4,124,149.99,2200 RPM,36 dB,White,240 mm,Water,,"['AM4', 'LGA1151', 'LGA1200']",2
NZXT Kraken X63,4,78,134.22,500 - 2000 RPM,21 - 38 dB,Black,280 mm,Water,,"['AM4', 'LGA1151', 'LGA1200']",2
be quiet! Dark Rock Pro 4,4,126,86.27,1500 RPM,12.8 - 24.3 dB,Black,,Air,163.0,"['AM4', 'LGA1151', 'LGA1200']",4
Noctua NH-D15,4,135,99.95,300 - 1500 RPM,19.2 - 24.6 dB,,,Air,165.0,"['AM4', 'LGA1151', 'LGA1200']",3
NZXT Kraken Z63,4,35,244.99,500 - 1800 RPM,21 - 38 dB,Black,280 mm,Water,,"['AM4', 'LGA1151', 'LGA1200']",2
Corsair iCUE H100i RGB PRO XT,4,44,109.99,2400 RPM,37 dB,Black,240 mm,Water,,"['AM4', 'LGA1151', 'LGA1200']",2
Noctua NH-U12S chromax.black,4,89,79.95,300 - 1500 RPM,18.6 - 22.4 dB,Black,,Air,158.0,"['AM4', 'LGA1151', 'LGA1200']",6
Thermaltake UX100,4,10,19.98,1800 RPM,26.92 dB,Black,,Air,66.1,"['AM4', 'LGA1151', 'LGA1200']",10
NZXT Kraken X73,4,31,159.94,500 - 2000 RPM,21 - 36 dB,Black,360 mm,Water,,"['AM4', 'LGA1151', 'LGA1200']",1
