manufacturer,series,chipset,socket
AMD,Ryzen 1000,X470,AM4
AMD,Ryzen 1000,B450,AM4
AMD,Ryzen 1000,X370,AM4
AMD,Ryzen 1000,B350,AM4
AMD,Ryzen 1000,A320,AM4
AMD,Ryzen 2000,X570,AM4
AMD,Ryzen 2000,X470,AM4
AMD,Ryzen 2000,B450,AM4
AMD,Ryzen 2000,X370,AM4
AMD,Ryzen 2000,B350,AM4
AMD,Ryzen 2000,A320,AM4
AMD,Ryzen 3000,X570,AM4
AMD,Ryzen 3000,B550,AM4
AMD,Ryzen 3000,A520,AM4
AMD,Ryzen 3000,X470,AM4
AMD,Ryzen 3000,B450,AM4
AMD,Ryzen 5000,X570,AM4
AMD,Ryzen 5000,B550,AM4
AMD,Ryzen 5000,A520,AM4
AMD,Ryzen 5000,X470,AM4
AMD,Ryzen 5000,B450,AM4
Intel,9th Gen,B365,LGA1151
Intel,9th Gen,Z390,LGA1151
Intel,10th Gen,B460,LGA1200
Intel,10th Gen,H410,LGA1200
Intel,10th Gen,Z490,LGA1200
Intel,10th Gen,B560,LGA1200
Intel,10th Gen,H510,LGA1200
Intel,10th Gen,Z590,LGA1200
Intel,11th Gen,B460,LGA1200
Intel,11th Gen,H410,LGA1200
Intel,11th Gen,Z490,LGA1200
Intel,11th Gen,B560,LGA1200
Intel,11th Gen,H510,LGA1200
Intel,11th Gen,Z590,LGA1200
