name,rating,rating_count,price_usd,core_count,core_clock,boost_clock,tdp,integrated_graphics,smt,series,1080p_rel_perf,1440p_rel_perf,single_thread_rel_perf,multi_thread_rel_perf,manufacturer
AMD Ryzen 5 3600,4,1025,245.99,6,3.6 GHz,4.2 GHz,65,,TRUE,Ryzen 3000,74.21,77.72,73.34,39.96,AMD
AMD Ryzen 5 5600X,4,266,299,6,3.7 GHz,4.6 GHz,65,,TRUE,Ryzen 5000,95.71,94.38,89.58,48.81,AMD
AMD Ryzen 7 3700X,4,565,286,8,3.6 GHz,4.4 GHz,65,,TRUE,Ryzen 3000,77.24,81.31,76.62,51.27,AMD
AMD Ryzen 7 5800X,4,146,399.99,8,3.8 GHz,4.7 GHz,105,,TRUE,Ryzen 5000,93.91,94.3,93.24,62.49,AMD
Intel Core i7-10700K,4,80,319.99,8,3.8 GHz,5.1 GHz,125,Intel UHD Graphics 630,TRUE,10th Gen,87.22,90.36,82.67,52.58,Intel
AMD Ryzen 9 5950X,5,33,799,16,3.4 GHz,4.9 GHz,105,,TRUE,Ryzen 5000,97.56,98.01,95.72,100,AMD
AMD Ryzen 9 5900X,4,91,589.99,12,3.7 GHz,4.8 GHz,105,,TRUE,Ryzen 5000,98.38,95.81,94.09,85.65,AMD
Intel Core i5-10400F,4,20,189.08,6,2.9 GHz,4.3 GHz,65,,TRUE,10th Gen,83.19,85.73,79.28,43.37,Intel
AMD Ryzen 5 2600,4,492,174.99,6,3.4 GHz,3.9 GHz,65,,TRUE,Ryzen 2000,62.23,67.17,67.07,31.65,AMD
Intel Core i5-10600K,4,48,214.9,6,4.1 GHz,4.8 GHz,125,Intel UHD Graphics 630,TRUE,10th Gen,81.55,84.9,79.13,38.88,Intel
Intel Core i9-10900K,4,38,499.99,10,3.7 GHz,5.3 GHz,125,Intel UHD Graphics 630,TRUE,10th Gen,91.92,94.08,87.05,63.06,Intel
AMD Ryzen 9 3900X,4,258,429.99,12,3.8 GHz,4.6 GHz,105,,TRUE,Ryzen 3000,75.8,79.02,78.02,72.21,AMD
Intel Core i7-11700K,5,2,399.99,8,3.6 GHz,5 GHz,125,Intel UHD Graphics 750,TRUE,11th Gen,93.32,94.59,94.7,63.94,Intel
AMD Ryzen 3 3200G,4,61,207.98,4,3.6 GHz,4 GHz,65,Radeon Vega 8,FALSE,Ryzen 3000,49.7,54.47,61.16,16.16,AMD
Intel Core i9-11900K,4,2,544.99,8,3.5 GHz,5.3 GHz,125,Intel UHD Graphics 750,TRUE,11th Gen,100,100,100,69.19,Intel
Intel Core i5-11600K,5,7,269.99,6,3.9 GHz,4.9 GHz,125,Intel UHD Graphics 750,TRUE,11th Gen,90.9,92.98,92.96,50,Intel
Intel Core i3-10100F,4,5,104,4,3.6 GHz,4.3 GHz,65,,TRUE,10th Gen,66.91,71.03,71.11,24.95,Intel
AMD Ryzen 5 3600X,4,180,295.95,6,3.8 GHz,4.4 GHz,95,,TRUE,Ryzen 3000,73.97,77.73,76.18,40.61,AMD
Intel Core i7-9700K,4,211,289.99,8,3.6 GHz,4.9 GHz,95,Intel UHD Graphics 630,FALSE,9th Gen,79.61,83.41,80.71,42.57,Intel
Intel Core i5-11400,5,11,278.61,6,2.6 GHz,4.4 GHz,65,Intel UHD Graphics 730,TRUE,11th Gen,87.56,90.24,83.45,45.65,Intel
Intel Core i9-10850K,4,39,409,10,3.6 GHz,5.2 GHz,125,Intel UHD Graphics 630,TRUE,10th Gen,91.48,93.64,85.24,62.3,Intel
Intel Core i9-9900K,4,199,364.99,8,3.6 GHz,5 GHz,95,Intel UHD Graphics 630,TRUE,9th Gen,79.38,87.24,82.99,51.85,Intel
AMD Ryzen 7 3800X,4,123,332.95,8,3.9 GHz,4.5 GHz,105,,TRUE,Ryzen 3000,77.1,80.89,78.71,52.72,AMD
Intel Core i5-10400,4,32,211.79,6,2.9 GHz,4.3 GHz,65,Intel UHD Graphics 630,TRUE,10th Gen,83.19,85.73,79.28,43.37,Intel
AMD Ryzen 3 3300X,4,20,129,4,3.8 GHz,4.3 GHz,65,,TRUE,Ryzen 3000,72.98,76.7,75.95,29.02,AMD
Intel Core i5-11400F,4,4,267.99,6,2.6 GHz,4.4 GHz,65,,TRUE,11th Gen,87.56,90.24,83.45,45.65,Intel
Intel Core i7-10700F,5,2,259.99,8,2.9 GHz,4.8 GHz,65,,TRUE,10th Gen,82.86,85.84,78.53,49.94,Intel
Intel Core i5-9400F,4,41,167.9,6,2.9 GHz,4.1 GHz,65,,FALSE,9th Gen,70.12,74.11,67.96,28.07,Intel
Intel Core i5-9600K,4,134,229.99,6,3.7 GHz,4.6 GHz,95,Intel UHD Graphics 630,FALSE,9th Gen,72.51,77.23,75.74,30.98,Intel
Intel Core i3-10100,4,36,169.99,4,3.6 GHz,4.3 GHz,65,Intel UHD Graphics 630,TRUE,10th Gen,66.91,71.03,71.11,24.95,Intel
Intel Core i5-10600KF,5,5,199.99,6,4.1 GHz,4.8 GHz,125,,TRUE,10th Gen,81.55,84.9,79.13,38.88,Intel
Intel Core i7-10700KF,5,1,239.99,8,3.8 GHz,5.1 GHz,125,,TRUE,10th Gen,87.22,90.36,82.67,52.58,Intel
