name,rating,rating_count,price_usd,chipset,memory,core_clock,boost_clock,color,length
EVGA XC GAMING,4,19,899.99,GeForce RTX 3060,12 GB,1320 MHz,1882 MHz,Black,201.8
Asus DUAL EVO OC,4,15,799.99,GeForce RTX 2060,6 GB,1365 MHz,1785 MHz,Black,242
Asus TUF GAMING OC,4,14,537,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1845 MHz,Black,206
EVGA FTW3 ULTRA GAMING,5,14,2629,GeForce RTX 3090,24 GB,1400 MHz,1800 MHz,Black,300
MSI GAMING X,4,2,869,GeForce RTX 3060,12 GB,1320 MHz,1837 MHz,Black / Silver,276
EVGA FTW3 ULTRA GAMING,4,39,1909,GeForce RTX 3080,10 GB,1440 MHz,1800 MHz,Black,300
Asus STRIX GAMING OC,5,5,2999.99,GeForce RTX 3090,24 GB,1400 MHz,1890 MHz,Black,318.5
Asus TUF GAMING OC,4,18,499,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1800 MHz,Black,205.74
MSI GAMING X TRIO,4,20,1169.67,GeForce RTX 3070,8 GB,1500 MHz,1830 MHz,Black / Silver,323
Zotac GAMING Twin Edge OC,5,2,886.16,GeForce RTX 3060,12 GB,1320 MHz,1807 MHz,Black,224.1
EVGA XC3 ULTRA GAMING,4,33,1294.96,GeForce RTX 3070,8 GB,1500 MHz,1770 MHz,Black / Silver,285.242
MSI VENTUS XS OC,4,22,629.38,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1815 MHz,Black / Silver,203.962
Asus STRIX GAMING OC,4,23,2199.99,GeForce RTX 3080,10 GB,1440 MHz,1935 MHz,Black,318.5
Asus ROG STRIX WHITE OC,4,1,3649,GeForce RTX 3090,24 GB,1400 MHz,1890 MHz,White / Black,318.5
Zotac GAMING,4,11,686.95,GeForce RTX 2060,6 GB,1365 MHz,1680 MHz,Black,209.6
Asus ROG STRIX GAMING OC,5,3,1184.9,GeForce RTX 3070,8 GB,1500 MHz,1905 MHz,Black,318.5
Zotac GAMING Twin Fan,5,2,478.99,GeForce GTX 1660,6 GB,1530 MHz,1785 MHz,Black,215.9
Asus DUAL EVO OC,4,23,538,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1860 MHz,Black,242
Gigabyte OC,4,51,569,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1830 MHz,Black / Silver,225.65
MSI GAMING X TRIO,4,17,1413.99,GeForce RTX 3080,10 GB,1440 MHz,,Black,323
EVGA SC ULTRA GAMING,4,15,479,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1755 MHz,Black,202.1
MSI GAMING X,4,16,541.64,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1755 MHz,Black / Silver,248
Zotac GAMING Twin Fan,4,9,444.67,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1725 MHz,Black,158.5
Asus Phoenix OC,0,0,498,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1830 MHz,Black / White,174
Gigabyte GAMING OC,4,1,1578,GeForce RTX 3070 Ti,8 GB,1575 MHz,1830 MHz,Black / Silver,320
EVGA SC ULTRA GAMING,4,21,592.99,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1830 MHz,Black,202.1
NVIDIA Founders Edition,4,54,1299.42,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1770 MHz,Silver,266.74
Gigabyte WINDFORCE OC,3,4,544,GeForce GTX 1650 G5,4 GB,1485 MHz,1710 MHz,Black / Silver,191
Asus TUF GAMING OC,4,26,2099.99,GeForce RTX 3080,10 GB,1440 MHz,,Black,299.9
Gigabyte AORUS MASTER,4,12,1189.97,GeForce RTX 3070,8 GB,1500 MHz,1845 MHz,Black,290
Gigabyte OC,4,11,676.99,GeForce GTX 1660 Ti,6 GB,1500 MHz,1800 MHz,Black / Gray,225.65
EVGA FTW3 ULTRA GAMING LE iCX3,0,0,1934.97,GeForce RTX 3080 Ti,12 GB,1365 MHz,1800 MHz,Black,300
MSI VENTUS 2X,0,0,879.99,GeForce RTX 3060,12 GB,1320 MHz,1777 MHz,Black,235
XFX Speedster MERC 319 Black,5,2,999.95,Radeon RX 6700 XT,12 GB,2321 MHz,2622 MHz,Black,323
MSI SUPRIM,5,4,3497.9,GeForce RTX 3090,24 GB,1400 MHz,1875 MHz,Silver,336
MSI GAMING X TRIO,0,0,1779,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,Black / Silver,324
Asus ROG STRIX GAMING OC,0,0,1649,GeForce RTX 3070 Ti,8 GB,1575 MHz,,Black / Silver,318.5
Gigabyte OC,4,10,612.99,GeForce GTX 1660,6 GB,1530 MHz,1785 MHz,Black / Gray,224
MSI VENTUS 2X OC,4,9,1097.99,GeForce RTX 3070,8 GB,1500 MHz,1755 MHz,Black / Silver,232
Asus KO Gaming OC,4,6,1199.99,GeForce RTX 3070,8 GB,1500 MHz,1845 MHz,Black / Silver,275
MSI GAMING X TRIO,4,4,1799.99,Radeon RX 6800 XT,16 GB,1850 MHz,2285 MHz,Silver / Black,324
Gigabyte AORUS XTREME,5,2,3499,GeForce RTX 3090,24 GB,1400 MHz,1860 MHz,Black,319
PowerColor Hellhound Spectral,4,1,1044,Radeon RX 6700 XT,12 GB,2321 MHz,2581 MHz,White,305
Asus STRIX GAMING OC,4,49,3299.99,GeForce RTX 2080 Ti,11 GB,1350 MHz,1665 MHz,Black,304.7
MSI VENTUS 3X OC,4,21,1139.99,GeForce RTX 3070,8 GB,1500 MHz,1755 MHz,Black / Silver,305
Zotac GAMING Twin Fan,4,10,584.82,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1785 MHz,Black,173.4
