name,rating,rating_count,price_usd,speed,modules,price_/_gb,color,first_word_latency,cas_latency,DDR,modules_no
Corsair Vengeance LPX 16 GB,4,338,88.99,3200,8,$5.562,Black / Yellow,10 ns,16,DDR4,2
Corsair Vengeance RGB Pro 16 GB,4,287,103.99,3200,8,$6.499,Black,10 ns,16,DDR4,2
Crucial Ballistix 16 GB,4,57,87.99,3200,8,$5.499,Black,10 ns,16,DDR4,2
G.Skill Trident Z RGB 16 GB,4,92,114.99,3600,8,$7.187,Black,10 ns,18,DDR4,2
Crucial Ballistix 16 GB,4,49,86.99,3600,8,$5.437,Black,8.889 ns,16,DDR4,2
Corsair Vengeance RGB Pro 16 GB,4,130,104.99,3200,8,$6.562,White,10 ns,16,DDR4,2
G.Skill Ripjaws V Series 32 GB,4,81,154.99,3200,16,$4.843,Black,10 ns,16,DDR4,2
G.Skill Trident Z Neo 32 GB,4,120,227.99,3600,16,$7.125,Black / Silver,8.889 ns,16,DDR4,2
Team T-FORCE VULCAN Z 16 GB,4,57,79.98,3200,8,$4.999,Black,10 ns,16,DDR4,2
Corsair Vengeance RGB Pro 32 GB,4,28,212.24,3600,16,$6.633,Black,10 ns,18,DDR4,2
G.Skill Ripjaws V 16 GB,4,171,97.99,3600,8,$6.124,Black,8.889 ns,16,DDR4,2
Corsair Vengeance LPX 128 GB,0,0,3832.0,3800,16,$29.938,Black / Yellow,10 ns,19,DDR4,8
Corsair Vengeance LPX 16 GB,4,81,89.99,3600,8,$5.624,Black,10 ns,18,DDR4,2
Corsair Vengeance LPX 16 GB,4,8,189.99,2400,8,$11.874,Red,13.333 ns,16,DDR4,2
Crucial Ballistix 32 GB,4,12,187.99,3600,16,$5.875,Black,8.889 ns,16,DDR4,2
G.Skill Aegis 16 GB,4,67,76.99,3000,8,$4.812,Black / Red,10.667 ns,16,DDR4,2
Corsair Vengeance RGB Pro 16 GB,4,56,119.99,3600,8,$7.499,Black,10 ns,18,DDR4,2
Corsair Vengeance LPX 32 GB,4,23,189.99,3600,16,$5.937,Black / Yellow,10 ns,18,DDR4,2
G.Skill Trident Z RGB 128 GB,5,2,799.99,4000,32,$6.250,Black,9 ns,18,DDR4,4
G.Skill Trident Z RGB 16 GB,4,329,96.99,3200,8,$6.062,Black,10 ns,16,DDR4,2
Kingston HyperX Fury 16 GB,4,27,94.99,3200,8,$5.937,Black / Silver,10 ns,16,DDR4,2
G.Skill Trident Z RGB 32 GB,4,24,219.99,3600,16,$6.875,Black,8.889 ns,16,DDR4,2
G.Skill Ripjaws V Series 16 GB,4,176,82.99,3200,8,$5.187,Black,10 ns,16,DDR4,2
G.Skill Aegis 8 GB,4,28,40.99,3000,8,$5.124,Black / Red,10.667 ns,16,DDR4,1
G.Skill Trident Z Neo 16 GB,4,83,109.99,3600,8,$6.874,Black / Silver,8.889 ns,16,DDR4,2
Corsair Vengeance RGB Pro 32 GB,4,38,226.99,3200,16,$7.093,White,10 ns,16,DDR4,2
Corsair Vengeance LPX 8 GB,4,10,55.99,3000,4,$6.999,Black / Yellow,10.667 ns,16,DDR4,2
Crucial Ballistix 16 GB,4,10,87.73,3200,8,$5.483,White,10 ns,16,DDR4,2
Corsair Vengeance RGB Pro 32 GB,4,25,227.99,3200,8,$7.125,Black,10 ns,16,DDR4,4
Crucial Ballistix RGB 16 GB,4,22,109.99,3600,8,$6.874,Black,8.889 ns,16,DDR4,2
Team T-Force Delta RGB 16 GB,4,42,85.99,3200,8,$5.374,Black,10 ns,16,DDR4,2
Crucial Ballistix 32 GB,5,25,173.99,3200,16,$5.437,Black,10 ns,16,DDR4,2
Corsair Vengeance RGB Pro 16 GB,4,19,112.99,3600,8,$7.062,White,10 ns,18,DDR4,2
Crucial Ballistix 16 GB,4,16,86.99,3600,8,$5.437,White,8.889 ns,16,DDR4,2
Kingston HyperX Fury 8 GB,0,0,44.99,2666,8,$5.624,Black,12.003 ns,16,DDR4,1
Corsair Vengeance RGB Pro 64 GB,5,2,400.0,3000,32,$6.250,Black,10.667 ns,16,DDR4,2
Corsair Vengeance LPX 16 GB,4,266,84.99,3000,8,$5.312,Black / Yellow,10 ns,15,DDR4,2
ADATA XPG SPECTRIX D60G 16 GB,5,16,92.99,3200,8,$5.812,,10 ns,16,DDR4,2
G.Skill Trident Z Royal 32 GB,5,11,209.99,3600,16,$6.562,Silver,10.556 ns,19,DDR4,2
OLOy MD4U083016BGDA 16 GB,4,12,69.3,3000,8,$4.331,Black,10.667 ns,16,DDR4,2
G.Skill Ripjaws V 16 GB,4,40,85.99,3600,8,$5.374,Black,10 ns,18,DDR4,2
Corsair Vengeance RGB Pro 32 GB,4,23,227.99,3200,8,$7.125,White,10 ns,16,DDR4,4
OLOy MD4U083216BJDA 16 GB,5,5,82.99,3200,8,$5.187,Black,10 ns,16,DDR4,2
Team T-FORCE VULCAN Z 16 GB,4,23,74.98,3000,8,$4.686,Silver / Black,10.667 ns,16,DDR4,2
G.Skill Ripjaws V 32 GB,4,68,199.99,3600,16,$6.250,Black,8.889 ns,16,DDR4,2
Corsair Vengeance RGB Pro 32 GB,4,12,235.99,3600,8,$7.375,Black,10 ns,18,DDR4,4
Kingston HyperX Fury RGB 16 GB,4,15,103.99,3200,8,$6.499,Black,10 ns,16,DDR4,2
Silicon Power XPOWER Turbine 16 GB,5,7,74.97,3200,8,$4.686,Blue,10 ns,16,DDR4,2
G.Skill Trident Z RGB 64 GB,4,6,349.99,3600,32,$5.469,Black,10 ns,18,DDR4,2
G.Skill Trident Z RGB 32 GB,5,16,184.99,3200,16,$5.781,Black,10 ns,16,DDR4,2
Patriot Viper Steel 16 GB,4,13,129.99,4400,8,$8.124,Silver / Black,8.636 ns,19,DDR4,2
G.Skill Trident Z Royal 128 GB,5,1,936.2,4000,32,$7.314,Silver,9 ns,18,DDR4,4
G.Skill Trident Z RGB 32 GB,4,49,219.99,3200,8,$6.875,Black,10 ns,16,DDR4,4
Silicon Power SP016GXLZU320BDAJ5 16 GB,0,0,73.97,3200,8,$4.623,Black / Gray,10 ns,16,DDR4,2
Corsair Vengeance LPX 8 GB,4,47,45.99,2400,8,$5.749,Black / Yellow,13.333 ns,16,DDR4,1
Crucial Ballistix RGB 16 GB,4,11,109.99,3600,8,$6.874,White,8.889 ns,16,DDR4,2
Team T-Force Delta RGB 16 GB,4,28,85.99,3200,8,$5.374,White,10 ns,16,DDR4,2
Crucial Ballistix 64 GB,4,3,375.99,3600,32,$5.875,Black,8.889 ns,16,DDR4,2
Corsair Vengeance RGB Pro 32 GB,4,5,249.99,3600,8,$7.812,White,10 ns,18,DDR4,4
Team T-Force Delta RGB 32 GB,4,4,152.99,3200,16,$4.781,Black / Silver,10 ns,16,DDR4,2
Corsair Dominator Platinum RGB 32 GB,4,5,339.99,3600,8,$10.625,White,10 ns,18,DDR4,4
G.Skill Trident Z Neo 32 GB,5,12,274.99,3600,8,$8.593,Silver / Black,8.889 ns,16,DDR4,4
Kingston HyperX Fury 16 GB,3,3,89.99,2666,8,$5.624,Black,12.003 ns,16,DDR4,2
G.Skill Ripjaws V Series 8 GB,5,5,52.99,3200,4,$6.624,Black,10 ns,16,DDR4,2
Patriot Viper Steel 16 GB,4,13,98.99,3200,8,$6.187,Silver / Black,10 ns,16,DDR4,2
Patriot Signature Premium 8 GB,4,3,46.99,2666,4,$5.874,Black,14.254 ns,19,DDR4,2
G.Skill Aegis 4 GB,0,0,23.98,2400,4,$5.995,Black / Red,12.5 ns,15,DDR4,1
Corsair Vengeance RGB Pro SL 32 GB,0,0,199.99,3600,16,$6.250,White / Black,10 ns,18,DDR4,2
Team T-Force Delta RGB 16 GB,5,1,94.99,3600,8,$5.937,White,10 ns,18,DDR4,2
Corsair Vengeance RGB Pro 64 GB,0,0,445.99,3600,16,$6.969,Black,10 ns,18,DDR4,4
Crucial CT64G4LFQ424A 64 GB,0,0,1277.77,2400,64,$19.965,Black / Green,14.167 ns,17,DDR4,1
G.Skill Trident Z RGB 32 GB,4,9,189.99,3600,16,$5.937,Black,10 ns,18,DDR4,2
Crucial Ballistix 16 GB,5,4,86.99,3000,8,$5.437,Black,10 ns,15,DDR4,2
Corsair Vengeance LPX 32 GB,0,0,159.99,3200,16,$5.000,Black / Yellow,10 ns,16,DDR4,2
G.Skill Trident Z RGB 32 GB,4,12,209.99,3600,8,$6.562,Black,10.556 ns,19,DDR4,4
Corsair Vengeance LPX 16 GB,5,18,99.99,3000,8,$6.249,Red,10 ns,15,DDR4,2
G.Skill Ripjaws V 64 GB,4,9,334.99,3600,32,$5.234,Black,10 ns,18,DDR4,2
Team Elite 8 GB,0,0,38.99,3200,8,$4.874,Black,13.75 ns,22,DDR4,1
Crucial Ballistix 16 GB,5,1,85.99,3600,8,$5.374,Red,8.889 ns,16,DDR4,2
Team T-FORCE VULCAN Z 32 GB,0,0,159.99,3600,16,$5.000,Black,10 ns,18,DDR4,2
Crucial Ballistix 32 GB,4,3,187.99,3600,16,$5.875,White,8.889 ns,16,DDR4,2
