name,rating,rating_count,price_usd,form_factor,efficiency_rating,wattage,modular,color
Corsair RM (2019),4,195,124.99,ATX,80+ Gold,750,Full,Black
EVGA BQ,4,109,64.0,ATX,80+ Bronze,600,Semi,
Corsair RM (2019),4,72,134.99,ATX,80+ Gold,850,Full,Black
EVGA SuperNOVA GA,4,27,84.99,ATX,80+ Gold,650,Full,Black
Corsair RM (2019),4,58,89.99,ATX,80+ Gold,650,Full,Black
EVGA BR,4,61,39.99,ATX,80+ Bronze,500,False,
EVGA SuperNOVA GA,4,17,115.95,ATX,80+ Gold,750,Full,Black
Corsair SF,4,98,178.12,SFX,80+ Platinum,750,Full,
Corsair AXi,5,4,935.9,ATX,80+ Titanium,1600,Full,
EVGA BQ,4,86,34.99,ATX,80+ Bronze,500,Semi,
Corsair HX Platinum,4,16,348.99,ATX,80+ Platinum,1000,Full,
Corsair RMx (2018),4,135,144.99,ATX,80+ Gold,850,Full,Black
Corsair CXM,4,139,84.99,ATX,80+ Bronze,650,Semi,
Gigabyte P GM,4,16,87.99,ATX,80+ Gold,750,Full,Black
Corsair CXM,4,170,72.65,ATX,80+ Bronze,550,Semi,
EVGA BR,4,44,39.99,ATX,80+ Bronze,450,False,
Corsair RMx White (2018),4,49,144.99,ATX,80+ Gold,750,Full,White / Black
Corsair CV,4,10,34.99,ATX,80+ Bronze,450,False,Black
EVGA SuperNOVA GM,4,22,99.0,SFX,80+ Gold,650,Full,Black
EVGA SuperNOVA GA,4,12,79.64,ATX,80+ Gold,550,Full,Black
Corsair RMx (2021),5,1,149.99,ATX,80+ Gold,850,Full,Black
NZXT C,4,15,129.99,ATX,80+ Gold,850,Full,Black
SeaSonic FOCUS Plus Gold,4,69,114.0,ATX,80+ Gold,650,Full,
Gigabyte P-B,4,5,28.0,ATX,80+ Bronze,450,False,Black
EVGA BQ,4,23,66.0,ATX,80+ Bronze,750,Semi,
EVGA BQ,4,42,50.0,ATX,80+ Bronze,650,Semi,
Corsair SF,4,62,139.99,SFX,80+ Platinum,600,Full,Black
EVGA B5,4,12,59.99,ATX,80+ Bronze,550,Full,Black
Corsair RMx (2021),4,1,189.99,ATX,80+ Gold,1000,Full,Black
EVGA G3,4,185,102.89,ATX,80+ Gold,750,Full,
EVGA GD (2019),4,8,64.54,ATX,80+ Gold,600,False,Black
Thermaltake Toughpower DPS G RGB Titanium,0,0,1299.0,ATX,80+ Titanium,1500,Full,
EVGA SuperNOVA GA,4,15,159.99,ATX,80+ Gold,850,Full,Black
Antec High Current Gamer Gold,4,5,108.54,ATX,80+ Gold,650,Full,Black
Cooler Master V SFX Gold,4,2,150.98,SFX,80+ Gold,850,Full,Black
EVGA G3,4,142,119.99,ATX,80+ Gold,650,Full,
Corsair RMx (2018),4,121,134.99,ATX,80+ Gold,750,Full,Black
Corsair RMx (2018),4,41,154.99,ATX,80+ Gold,850,Full,White / Black
NZXT C,5,4,105.71,ATX,80+ Gold,750,Full,Black
SeaSonic FOCUS Plus Gold,4,70,139.99,ATX,80+ Gold,850,Full,
MSI MPG A650GF,5,4,80.59,ATX,80+ Gold,650,Full,Black
Corsair TXM Gold,4,61,99.99,ATX,80+ Gold,550,Semi,
Corsair CV,4,11,39.99,ATX,80+ Bronze,550,False,Black
EVGA 100-W1-0500-KR,4,178,34.99,ATX,80+,500,False,
EVGA 210-GQ-0650-V1,4,96,74.98,ATX,80+ Gold,650,Semi,
SeaSonic FOCUS Plus Gold,4,63,114.99,ATX,80+ Gold,750,Full,
Corsair CXM (2015),4,143,59.99,ATX,80+ Bronze,450,Semi,
EVGA SuperNOVA GM,4,9,69.98,SFX,80+ Gold,550,Full,Black
Asus ROG Strix,3,2,189.99,ATX,80+ Gold,850,Full,White
Corsair HX Platinum,4,8,444.5,ATX,80+ Platinum,1200,Full,
EVGA B5,4,12,44.99,ATX,80+ Bronze,650,Full,Black
SeaSonic S12III,4,19,49.99,ATX,80+ Bronze,650,False,Black
EVGA BR,4,18,62.99,ATX,80+ Bronze,700,False,
Gigabyte P GM,4,10,109.99,ATX,80+ Gold,850,Full,Black
EVGA BR,4,30,51.0,ATX,80+ Bronze,600,False,
EVGA SuperNOVA GT,0,0,49.99,ATX,80+ Gold,650,Full,Black
Corsair TXM Gold,4,63,109.98,ATX,80+ Gold,650,Semi,
Corsair CXM,4,300,91.6,ATX,80+ Bronze,750,Semi,
Corsair CV,4,10,69.99,ATX,80+ Bronze,650,False,Black
EVGA G5,4,17,59.99,ATX,80+ Gold,650,Full,Black / Green
EVGA GD (2019),4,8,46.0,ATX,80+ Gold,500,False,Black
EVGA BA,4,6,44.99,ATX,80+ Bronze,600,False,Black
Corsair RMx (2018),4,85,124.99,ATX,80+ Gold,650,Full,Black / Silver
Cooler Master MWE Gold,4,29,107.99,ATX,80+ Gold,750,Full,Black
EVGA G3,4,68,166.99,ATX,80+ Gold,850,Full,
EVGA B5,4,4,68.98,ATX,80+ Bronze,750,Full,Black
EVGA G3,4,94,79.72,ATX,80+ Gold,550,Full,
SeaSonic FOCUS Plus Platinum,5,10,163.98,ATX,80+ Platinum,850,Full,
Corsair CXF,5,1,114.99,ATX,80+ Bronze,750,Full,White / Black
EVGA GD (2019),4,9,69.98,ATX,80+ Gold,700,False,Black
Corsair HX Platinum,4,10,184.99,ATX,80+ Platinum,850,Full,
SeaSonic S12III,4,16,44.99,ATX,80+ Bronze,500,False,Black
Asus ROG Thor 850,4,14,218.0,ATX,80+ Platinum,850,Full,Black / Red
Corsair TXM Gold,4,30,119.92,ATX,80+ Gold,750,Semi,
EVGA 100-N1-0400-L1,4,33,39.99,ATX,,400,False,
Corsair RMx (2021),0,0,139.99,ATX,80+ Gold,750,Full,Black
SeaSonic PRIME Ultra Titanium,5,5,308.98,ATX,80+ Titanium,1000,Full,
Corsair SF,4,100,116.96,SFX,80+ Gold,600,Full,
ARESGAME AGV,4,7,35.99,ATX,80+ Bronze,500,False,Black
EVGA GQ,4,44,88.88,ATX,80+ Gold,750,Semi,
EVGA 100-W1-0600-K1,4,38,57.59,ATX,80+,600,False,
Cooler Master MWE Gold,4,17,92.97,ATX,80+ Gold,650,Full,Black
EVGA SuperNOVA GM,4,5,59.99,SFX,80+ Gold,450,Full,Black
Corsair RMx (2018),4,25,114.99,ATX,80+ Gold,550,Full,Black / Silver
MSI MPG A-GF,0,0,89.99,ATX,80+ Gold,750,Full,Black
Asus ROG Strix,4,4,150.29,ATX,80+ Gold,750,Full,Black / Red
Asus ROG STRIX G,5,1,229.99,ATX,80+ Gold,1000,Full,Black
NZXT C,5,3,107.72,ATX,80+ Gold,650,Full,Black
be quiet! Straight Power 11,5,9,139.9,ATX,80+ Gold,750,Full,
Thermaltake Smart,4,51,49.99,ATX,80+,500,False,
Corsair CXF,4,12,89.99,ATX,80+ Bronze,650,Full,Black
Cooler Master V Gold V2,5,1,131.19,ATX,80+ Gold,750,Full,White
SeaSonic FOCUS Plus Platinum,4,26,148.0,ATX,80+ Platinum,750,Full,
EVGA SuperNOVA GM,0,0,189.99,SFX,80+ Gold,850,Full,Black
SeaSonic FOCUS Plus Gold,4,6,187.98,ATX,80+ Gold,1000,Full,Black
Aerocool Integrator,4,6,173.91,ATX,80+ Bronze,500,False,Black
SeaSonic S12III,4,5,54.99,ATX,80+ Bronze,550,False,Black
